MicrobeMeter v1.0	Experiment Name: test2	Date: Thu Jun 27 13:29:18 2019				
Time	Temperature	Port_1	Port_2	Port_3	Port_4	
Thu Jun 27 13:30:30 2019	31.88	588	524	584	562	Blank
Thu Jun 27 13:30:53 2019	31.88	22	522	110	562	
Thu Jun 27 13:30:58 2019	31.88	22	534	126	562	
Thu Jun 27 13:31:03 2019	31.88	21	557	130	562	
Thu Jun 27 13:31:08 2019	31.88	21	553	127	562	
Thu Jun 27 13:31:13 2019	31.88	22	558	129	563	
Thu Jun 27 13:31:19 2019	31.88	22	553	125	562	
Thu Jun 27 13:31:24 2019	31.88	21	559	131	562	
Thu Jun 27 13:31:29 2019	31.88	22	557	130	562	
Thu Jun 27 13:31:35 2019	31.88	22	570	130	562	
Thu Jun 27 13:31:40 2019	31.88	22	582	129	562	
Thu Jun 27 13:31:47 2019	31.88	21	591	132	562	
Thu Jun 27 13:31:52 2019	31.88	21	602	134	562	
Thu Jun 27 13:31:58 2019	31.88	21	614	137	562	
Thu Jun 27 13:32:03 2019	31.88	21	623	140	562	
Thu Jun 27 13:32:09 2019	31.88	22	633	145	562	
Thu Jun 27 13:32:14 2019	31.88	22	642	160	562	
